Study Title,Status,Date of publication,DOI,Affiliation,Country of 1st author,Source of funding,Registration,Registration database,Protocol,Number of database(s),Database(s) name(s),Database(s) structured,Type of database,Database(s) country(s),Aim of study,Causal contrast,Number of primary outcome(s),Name of primary outcome(s),Type of primary outcome(s),Number of interventional arm(s),Number of control(s),Medical speciality,Name of primary (first) intervention,Type of intervention,ATC class,Comparator type,Comparator name,Study design,Statistical design,Sample size,High-dimensional method,Validation study,Position of the 1st/main hdPS analysis,Number of data dimensions,Temporal window,Included dimensions,Other dimensions,Diagnoses coding system,Procedures coding system,Drugs coding system,Granularity of codes,Other granularity,Prevalence filter,Number of most prevalent codes,Recurrence assessment,Covariates prioritization method,Number of predefined covariates,Number of prioritized covariates,Inclusion of post-baseline predefined covariates,Model used for building PS,Other model,Trimming,PS score main use,PS score other use,Additional variables used for,Reported list of included hdPS variables,Main or first intervention effect model,"Intervention, nb of eligible patients","Control, nb of eligible patients",Exclusion of eligible patients in the analysis,Use of a flowchart,"Intervention, nb of patients analyzed","Control, nb of patients analyzed",Reporting of crude analysis,Diagnostics for differences,hdPS specific sensitivity analysis,hdPS specific diagnostics,Investigator excluded variables,Transparency of hdPS reporting,Comparison with other methods (non hdPS),Method details,"Other, details",Use of a reporting guideline,Availability of code,Availability of data,Statistical software used,Aim ROBINS,Results assessed ROBINS,Bias due to confounding,Bias in selection of participants,Bias in classification of interventions,Bias due to deviations from intended interventions,Bias due to missing data,Bias in measurement of outcomes,Bias in selection of the reported result,Overall bias
"Antipsychotic drug use in pregnancy: high dimensional, propensity matched, population based cohort study",Done,13/5/2015,10.1136/bmj.h2298,Yes,Canada,Public,Not reported,,Mentioned but not available,1,ICES (MOMBABY + ODB + RPDB + CIHI-DAD + OMHRS + NACRS + OHIP),Ontario health databases,Both linked,Canada,Safety,ITT,6,Gestational diabetes,Discrete,1,1,Psychiatry,Antipsychotics,Pharmacological,N05A,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,8,365,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests)",,"ICD-10,Other",Not reported,Not reported,Other,2 digits ICD,Yes,200,"""Once, sporadic, frequent""",Association with exposure,,500,No,Schneeweiss citation,,Not reported,Matching,,"To match with the hdPS,To adjust after hdPS matching/weighting",Yes,Poisson regression,1209,40314,Yes,No,1021,1021,Yes,Standardized Difference,,Inspection of selected variables,Yes,"Specify data dimensions,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.10,Moderate,Serious,Low,Low,NI,Low,NI,Serious
Aromatase inhibitors and the risk of colorectal cancer in postmenopausal women with breast cancer,Done,27/12/2017,10.1093/annonc/mdx822,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Safety,Per-protocol,1,incident colorectal cancer,Time to event,1,1,Oncology,Aromatase inhibitor,Pharmacological,L02BG,Active comparator,tamoxifen,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient prescriptions,Outpatient diagnoses,Outpatient procedures (including tests),Administrative data",administrative / disease history,,,,,,,,Schneeweiss citation,Schneeweiss citation,13,500,No,Schneeweiss citation,,Yes,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,12278,12115,Unclear,No,9701,8893,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify data dimensions,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.90,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
"Arteriovenous Access Type and Risk of Mortality, Hospitalization, and Sepsis Among Elderly Hemodialysis Patients: A Target Trial Emulation Approach",Done,9/6/2021,10.1053/ j.ajkd.2021.03.030,Yes,USA,Public,Not reported,,Not reported,1,US Renal Data + Medicare,Medicaid or Medicare,Both linked,USA,Both,ITT,4,All-cause mortality / all-cause hospitalization / cause-specific hospitalization / sepsis,Time to event,1,1,Nephrology,Arteriovenous fistula,Not-pharmacological,,Active comparator,Arteriovenous graft,New-user design,Not reported,Not reported,hdPS,Yes,Primary analysis,6,730,"Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests)",,ICD-9,CPT,,,,Yes,300,"""Once, sporadic, frequent""",Bross formula,31,500,No,Logistic regression,,Yes,Weighting,,No additional variables used with/before/after hdPS,No,Cox regression,15905,3962,Yes,Yes,,,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Other,IV,Not reported,Not reported,Not reported,"Stata,R",Assignment (ITT),HR 0.82,Moderate,Low,Low,Low,Moderate,Low,NI,Moderate
Association between perioperative beta blocker use and cancer survival following surgical resection,Done,17/5/2018,10.1016/j.ejso.2018.05.012,Yes,Canada,Public,Not reported,,Mentioned but not available,1,ICES,Ontario health databases,PCD,Canada,Efficacy,ITT,2,all-cause mortality / cancer-specific mortality,Time to event,1,1,Surgical Oncology,beta-blocker,Pharmacological,C07A,Active comparator,other hypertensive treatment ,Prevalent user,Not reported,Not reported,hdPS,No,Primary analysis,,,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,3,,Unclear,Schneeweiss citation,,Not reported,Matching,,To adjust after hdPS matching/weighting,No,Cox regression,,,Yes,No,,,Yes,Standardized Difference,,,Not reported,Specify software,No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.99,Serious,Low,Low,Low,NI,Low,NI,Serious
Association between perioperative oral care and postoperative pneumonia after cancer resection: conventional versus high-dimensional propensity score matching analysis,Done,18/12/2018,10.1007/s00784-018-2783-5,Yes,Japan,Public,Not reported,,Mentioned but not available,1,Japan Medical Data Centre,Other,PCD,Japan,Efficacy,Per-protocol,2,Postoperative pneumonia / Procedure-related complications ,Binary,1,1,Odontology,Perioperative oral care,Not-pharmacological,,Standard care,Unexposed,Prevalent user,Not reported,Yes,hdPS,No,Primary analysis,5,365,"Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests),Drugs (all)",,ICD-10,Other,Other,,,,,Schneeweiss citation,Bross formula,5,500,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Logistic regression,621,4374,Yes,Yes,574,574,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,R,Starting and adhering (PP),RD -0.3,Moderate,Serious,Low,Low,NI,Low,NI,Serious
Association Between Proton Pump Inhibitor Use and Risk of Fracture in Children,Done,16/3/2020,10.1001/jamapediatrics.2020.0007,Yes,Sweden,Public,Not reported,,Not reported,1,Swedish registers,Other,EMR / Registry,Sweden,Safety,ITT,1,First diagnosis of fracture requiring hospitalization or acute care,Time to event,1,1,Gastroenterology,PPI,Pharmacological,A02BC,Standard care,Unexposed,New-user design,Not reported,No,hdPS,No,Sensitivity analysis,3,730,"Outpatient drug dispensation,Diagnoses (all),Disease specific",surgery procedures,ICD-10,Other,ATC,"3 digit ICD,Other",5 digit ATC / 5 digit Swedish surgery codes,Yes,200,"""Once, sporadic, frequent""",Bross formula,38,200,No,Logistic regression,,No,Matching,,No additional variables used with/before/after hdPS,Yes,Cox regression,117234,2373292,Yes,Yes,115655,115655,No,Standardized Difference,,Surveillance for IVs,Yes,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.10,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Association Between Serotonergic Antidepressant Use During Pregnancy and Autism Spectrum Disorder in Children,Done,18/4/2017,10.1001/jama.2017.3415,Yes,Canada,Public,Not reported,,Not reported,1,ICES + MOMBABY,Ontario health databases,Both linked,Canada,Safety,ITT,1,identify autism spectrum disorder,Binary,1,1,Psychiatry,Serotonergic antidepressant,Pharmacological,N06AB,Standard care,Unexposed,New-user design,Not reported,No,hdPS,No,Primary analysis,8,365,"Outpatient drug dispensation,Outpatient diagnoses,Medical encounters,Inpatient diagnoses,Inpatient procedures (including tests),Disease specific",psychiatric diagnoses / emergency department diagnoses and procedures,Other,Other,Generic drug names,"Generic drug name,Other",,Yes,200,"""Once, sporadic, frequent""",Bross formula,8,500,No,Schneeweiss citation,,Not reported,Weighting,,,Yes,Cox regression,2837,33069,Unclear,No,,,No,Standardized Difference,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,"Multivariable analysis on predefined variables,Other",sibling analysis,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.61,Moderate,Serious,Low,Low,NI,Low,NI,Serious
Association of Anticoagulant Therapy With Risk of Fracture Among Patients With Atrial Fibrillation,Done,25/11/2019,10.1001/jamainternmed.2019.5679,Yes,USA,Public,Not reported,,Not reported,1,MarketScan,Truven Marketscan,PCD,USA,Safety,"ITT,Per-protocol",3,hip fractures,Time to event,5,1,Cardiology,DOAC,Pharmacological,B01AF,Active comparator,warfartin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests),Inpatient diagnoses",,ICD-9,Not reported,Not reported,,,Yes,200,Schneeweiss citation,Bross formula,43,500,No,Logistic regression,,Not reported,Matching,,To match with the hdPS,No,Cox regression,,,Yes,Yes,,,No,Not reported,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,STROBE,Not reported,Not reported,SAS,Assignment (ITT),HR 0.91,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Association of Early Post-Discharge Follow-Up by a Primary Care Physician and 30-Day Rehospitalization Among Older Adults,Done,2/12/2014,10.1007/s11606-014-3106-4,Unclear,USA,Public,Not reported,,Not reported,1,primary hospital database,Other,Hospital database,USA,Efficacy,ITT,1,rehospitalization within 30 days of discharge from the index hospitalization,Time to event,1,1,General Practice,PCP office visit,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests)",,,,,,,,,Schneeweiss citation,Schneeweiss citation,,,Unclear,Schneeweiss citation,,Yes,Stratification,Matching,No additional variables used with/before/after hdPS,No,Cox regression,1000,2661,Yes,No,852,852,Yes,C-statistic,,,Not reported,"Specify data dimensions,Specify software",Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.96,Moderate,Serious,Low,Low,NI,Low,NI,Serious
Association of Hospitalization With First-Line Antidepressant Polypharmacy Among Veterans of Iraq and Afghanistan With Post-Traumatic Stress Disorder: Examining the Influence of Methodological Approaches,Done,1/10/2016,10.7205/MILMED-D-15-00327,Yes,USA,Public,Not reported,,Not reported,1,VA medical center,Veterans Administration databases,PCD,USA,Safety,Unclear,1,all-cause (psychiatric or medical) hospital admission,Binary,1,1,Psychiatry,Polypharmacy + AD,Pharmacological,,Active comparator,Monotherapy with AD,Prevalent user,Not reported,Not reported,hdPS,No,Primary analysis,4,365,"Inpatient diagnoses,Inpatient procedures (including tests)",clinic type,ICD-9,CPT,,Other,5-digit ICD,Yes,10,"""Once, sporadic, frequent""",Bross formula,5,30,No,Logistic regression,,Yes,Adjustment on deciles (stratification),Weighting,No additional variables used with/before/after hdPS,Yes,Logistic regression,307,91,Unclear,No,,,Yes,Not reported,Different total number of covariates,Sequential addition of variables plots,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Description parameters for feature generation,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 2.07,Moderate,Serious,Moderate,Serious,NI,Low,NI,Serious
Association of Low-Dose Quetiapine and Diabetes,Done,7/5/2021,10.1001/jamanetworkopen.2021.3209,Yes,Denmark,Public,Not reported,,Not reported,1,Danish Registers,Other,EMR / Registry,Denmark,Safety,"Per-protocol,ITT",1,Incident type 2 diabetes,Time to event,1,1,Psychiatry,quetiapine,Pharmacological,N05AH04,Active comparator,SSRI,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,2,365,"Drugs (all),Diagnoses (all)",,ICD-10,,ATC,"3 digit ICD,Other",5 digits ATC,,,"""Once, sporadic, frequent""",Schneeweiss citation,3,50,No,Logistic regression,,No,Matching,Weighting,,Yes,Poisson regression,57701,838584,Yes,Yes,54616,54616,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify total number of covariates included,Specify software",Yes,Other,active assay sensitivity control exposure,RECORD-PE,Not reported,Not reported,Stata,Starting and adhering (PP),IRR 1.18,Serious,Low,Low,Serious,NI,Low,NI,Serious
Association of Neuraxial Labor Analgesia for Vaginal Childbirth With Risk of Autism Spectrum Disorder,Done,22/12/2021,10.1001/jamanetworkopen.2021.40458,Yes,USA,Public,Not reported,,Not reported,2,Medicaid Analytic eXtract (MAX) / IBM MarketScan,"Medicaid or Medicare,Truven Marketscan",PCD,USA,Safety,"Per-protocol,ITT",1,Autism Spectrum Disorder,Time to event,1,1,Obstetrics,neuraxial labor analgesia,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Secondary analysis,,365,Unclear,,ICD-9,,,,,,,Not reported,Not reported,69,200,Yes,Not reported,,Yes,Adjustment on deciles (stratification),,To adjust with hdPS (stratas or not),No,Cox regression,484752,425944,Yes,No,339326,298160,Yes,Standardized Difference,Different temporal windows,,Not reported,"Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",Yes,Propensity score with predefined variables,,STROBE,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.10,Serious,Low,Low,Low,NI,Low,NI,Serious
